Date,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_9,sma_20,sma_50,sma_200,ema_9,ema_21,ema_50,macd_12_26_9,macd_signal_12_26_9,macd_hist_12_26_9,rsi_14,mfi_14,atr_14,hv_20,obv,vol_sma_20,pivot_high_3,pivot_low_3,bb_mid_20_2,bb_upper_20_2,bb_lower_20_2
1993-01-29,43.96875,43.96875,43.75,43.9375,24.313042,1003200,,,,,,43.9375,43.9375,43.9375,0.0,0.0,0.0,,,,,1003200.0,,,,,,
1993-02-01,43.96875,44.25,43.96875,44.25,24.485964,480500,,,,,,44.0,43.965909090909086,43.94975490196079,0.02492877492878165,0.00498575498575633,0.01994301994302532,,,,,1483700.0,,,,,,
1993-02-02,44.21875,44.375,44.125,44.34375,24.537846,201300,,,,,,44.06875,44.00025826446281,43.96520569011919,0.051654410272647056,0.014319486043134476,0.03733492422951258,,,,,1685000.0,,,,,,
1993-02-03,44.40625,44.84375,44.375,44.8125,24.797237,529400,,,,,,44.2175,44.07409842223891,43.99843291795766,0.10939780650760866,0.033335150136029314,0.07606265637157936,,,,,2214400.0,,,,,,
1993-02-04,44.96875,45.09375,44.46875,45.0,24.90099,531500,44.46875,,,,,44.374,44.15827129294446,44.03771005842991,0.16834892542095758,0.06033790519301497,0.10801102022794262,,,,,2745900.0,,,,,,
1993-02-05,44.96875,45.0625,44.71875,44.96875,24.883696,492100,44.675,,,,,44.49295000000001,44.231951175404056,44.07422142868756,0.21012431573288382,0.09029518730098875,0.11982912843189507,,,,,2253800.0,,,,,,
1993-02-08,44.96875,45.125,44.90625,44.96875,24.883696,596100,44.81875,,,,,44.58811000000001,44.29893288673096,44.10930098050373,0.24045974329086306,0.12032809849896361,0.12013164479189944,,,,,2253800.0,,,,,,
1993-02-09,44.8125,44.8125,44.5625,44.65625,24.710766,122100,44.88125,,,,,44.60173800000001,44.331416260664504,44.13074996166045,0.23655775926032163,0.14357403065123522,0.09298372860908641,,,,,2131700.0,,,,,,
1993-02-10,44.65625,44.75,44.53125,44.71875,24.745361,379600,44.8625,44.62847222222222,,,,44.625140400000014,44.366628418785915,44.153808786693375,0.23579058933029273,0.16201734238704674,0.073773246943246,,,,,2511300.0,,,,,,
1993-02-11,44.78125,45.125,44.78125,44.9375,24.8664,19500,44.85,44.739583333333336,,,,44.687612320000014,44.41852583525992,44.1845417754505,0.2499526004753605,0.17960439400470948,0.07034820647065101,,,,,2530800.0,,,,,,
1993-02-12,44.875,44.875,44.59375,44.59375,24.676174,42500,44.775,44.77777777777778,,,,44.66883985600001,44.43445530478174,44.20058915680538,0.23077807814770068,0.18983913083330772,0.04093894731439296,,,,,2488300.0,,,,,,
1993-02-16,44.46875,44.46875,43.40625,43.46875,24.053652,374800,44.475,44.68055555555556,,,,44.42882188480001,44.34666391343794,44.1718895820287,0.12338176489215869,0.17654765764507793,-0.05316589275291925,,,,,2113500.0,,,,,,
1993-02-17,43.46875,43.53125,43.28125,43.4375,24.036352,210900,44.23125,44.52777777777778,,,,44.23055750784001,44.26401264857995,44.14308999057659,0.035340416730214486,0.14830620946210527,-0.11296579273189078,,,,,1902600.0,,,,,,
1993-02-18,43.9375,43.9375,42.8125,43.40625,24.01907,378100,43.96875,44.35069444444444,,,,44.06569600627201,44.18603422598177,44.11419430467163,-0.03653346478390773,0.11133827461290267,-0.14787173939681042,31.343144576831676,65.78359154900303,0.4040536218522241,,1524500.0,,,42.8125,,,
1993-02-19,43.40625,43.5625,43.34375,43.5625,24.10553,34900,43.69375,44.19444444444444,,,,43.96505680501761,44.129349296347065,44.09255923390019,-0.07996418716922449,0.07307778225647725,-0.15304196942570175,36.18360542753733,66.04960903664384,0.39081764886277953,,1559400.0,,,,,,
1993-02-22,43.6875,43.78125,43.5625,43.71875,24.191988,513600,43.51875,44.05555555555556,,,,43.915795444014094,44.09202208758824,44.07790004825704,-0.10061544616434048,0.038339136572313706,-0.13895458273665418,40.68697472799733,66.26059560396823,0.37852710251543814,,2073000.0,,,,,,
1993-02-23,43.84375,43.875,43.46875,43.6875,24.174702,373700,43.5625,43.947916666666664,,,,43.87013635521128,44.05524735235294,44.062590242443044,-0.11814147020707821,0.007043015216435324,-0.12518448542351354,40.07782490654113,59.47995199441782,0.38050730947862116,,1699300.0,,,,,,
1993-02-24,43.71875,44.25,43.71875,44.25,24.485964,26300,43.725,43.895833333333336,,,,43.946109084169024,44.07295213850267,44.06993964470018,-0.08565454921256332,-0.011496497669364407,-0.07415805154319892,53.556587722512575,54.45453429523331,0.3935067873730054,,1725600.0,,,,,,
1993-02-25,44.21875,44.375,44.125,44.34375,24.537846,44500,43.9125,43.829861111111114,,,,44.02563726733522,44.09757012591152,44.080677305692326,-0.05174708063609046,-0.01954661426270962,-0.03220046637338084,55.358902956623055,48.20933990124722,0.38325630256064785,,1770100.0,,,,,,
1993-02-26,44.4375,44.4375,44.1875,44.40625,24.572407,66200,44.08125,43.80902777777778,44.2734375,,,44.10175981386818,44.12563193264683,44.09344486233184,-0.019605934821058213,-0.019558478374379337,-4.745644667887572e-05,56.56894493523725,41.13483261879548,0.3737379952348873,,1836300.0,321040.0,,,44.2734375,45.403883928757004,43.142991071242996
1993-03-01,44.5625,44.5625,44.21875,44.28125,24.503248,66500,44.19375,43.89930555555556,44.290625,,,44.137657851094545,44.13977902967894,44.10080976969138,-0.004172205936683326,-0.016481223886840136,0.01230901795015681,53.44850505329342,29.065965391654117,0.3715959955752525,0.1246642350993993,1769800.0,274205.0,,,44.290625,45.40996382622498,43.171286173775016
1993-03-02,44.3125,44.9375,44.25,44.9375,24.8664,182400,44.44375,44.06597222222222,44.325,,,44.29762628087564,44.21229911788995,44.13362115127211,0.060317720749786474,-0.0011214349595148139,0.06143915570930129,64.51531947651947,35.251614400410745,0.39416056731987736,0.13277076354515407,1952200.0,259300.0,,,44.325,45.48072089600979,43.16927910399021
1993-03-03,45.0,45.15625,44.9375,45.125,24.970144,280100,44.61875,44.25694444444444,44.3640625,,,44.463101024700514,44.2952719253545,44.17249875318301,0.1251139001109891,0.02412563205458597,0.10098826805640314,66.93404560676879,47.57680336697955,0.38163124108274327,0.1332440139648158,2232300.0,263240.0,,,44.3640625,45.57399178104562,43.154133218954385
1993-03-04,45.1875,45.1875,44.875,44.875,24.831808,89500,44.725,44.40277777777778,44.3671875,,,44.545480819760414,44.347974477594995,44.20004782168564,0.15451131812775287,0.05020276926921935,0.10430854885853352,60.96694136901407,45.56373965913544,0.3766932952911188,0.1299914235371016,2142800.0,241245.0,,,44.3671875,45.58230523173371,43.15206976826629
1993-03-05,44.9375,45.125,44.71875,44.75,24.762638,40000,44.79375,44.517361111111114,44.3546875,,,44.58638465580833,44.38452225235908,44.2216145737764,0.16581116052689993,0.07332444752075547,0.09248671300614446,58.174378316116055,45.60419008698869,0.3788044884846103,0.12942351977293204,2102800.0,216670.0,,,44.3546875,45.54733131097979,43.1620436890202
1993-03-08,44.84375,45.75,44.84375,45.75,25.316006,50800,45.0875,44.74652777777778,44.39375,,,44.81910772464667,44.50865659305371,44.281551257157716,0.25254680730085255,0.10916891947677489,0.14337788782407768,70.00938724102093,54.026508899415084,0.4231755964499953,0.15180894273040396,2153600.0,194605.0,,,44.39375,45.7152884276628,43.072211572337196
1993-03-09,45.65625,45.6875,45.5,45.59375,25.229521,169300,45.21875,44.895833333333336,44.425,,,44.97403617971734,44.60730144823064,44.33301003138683,0.3051596723539447,0.14836707005220887,0.15679260230173583,66.82749074277766,62.32921092473891,0.4108059109892814,0.15255026287690046,1984300.0,173265.0,,,44.425,45.83066873951979,43.01933126048021
1993-03-10,45.59375,45.6875,45.40625,45.6875,25.281399,194400,45.33125,45.045138888888886,44.4765625,,,45.11672894377387,44.70550131657331,44.38612728505793,0.35038160739720325,0.18876997752120775,0.1616116298759955,67.77388830712168,74.22919639333276,0.40155191734718987,0.1498774202008154,2178700.0,176880.0,,,44.4765625,45.98951031865525,42.96361468134475
1993-03-11,45.71875,45.84375,45.5,45.5625,25.212244,70900,45.46875,45.173611111111114,44.51875,,,45.2058831550191,44.78341028779392,44.43225954838899,0.3718474356231454,0.2253854691415953,0.14646196648155008,65.106754780702,74.73432150775093,0.39742320896524774,0.15050184413825904,2107800.0,161445.0,45.84375,,44.51875,46.105392433104036,42.93210756689596
1993-03-12,45.1875,45.21875,44.8125,45.09375,24.952854,643600,45.5375,45.263888888888886,44.5265625,,,45.183456524015284,44.811622988903565,44.45820035041295,0.34703465220331964,0.2497153057539402,0.09731934644937945,56.17846680684889,45.71426988364568,0.42260726546773003,0.1548454290444767,1464200.0,192650.0,,44.8125,44.5265625,46.12339259901854,42.92973240098146
1993-03-15,45.0625,45.3125,45.0625,45.3125,25.073902,310800,45.45,45.30555555555556,44.5625,,,45.20926521921223,44.8571572626396,44.49170229745558,0.341089768872088,0.26799019837756977,0.0730995704945182,59.003845869501745,62.13283223126301,0.4102781750771779,0.15278772347432587,1775000.0,206065.0,,,44.5625,46.197590131106566,42.927409868893434
1993-03-16,45.3125,45.4375,45.3125,45.3125,25.073902,30800,45.39375,45.326388888888886,44.6546875,,,45.22991217536978,44.89855205694509,44.5238904426534,0.33254503385335,0.2809011654727258,0.05164386838062418,59.003845869501745,62.23053489349635,0.3899011625716652,0.11709003983821285,1775000.0,188865.0,,,44.6546875,46.23718778581522,43.07218721418478
1993-03-17,45.25,45.25,44.96875,45.03125,24.918274,21800,45.2625,45.34375,44.734375,,,45.190179740295825,44.91061550631372,44.54378689588268,0.2996248564585713,0.2846459036698949,0.014978952788676392,53.82876211349808,60.743418909913686,0.3866046509594034,0.12041878466675231,1753200.0,179410.0,,,44.734375,46.21610307630323,43.25264692369677
