Date,Open,High,Low,Close,Volume,RSI_14,MFI_14,MACD,MACD_Signal,MACD_Histogram,MA20,MA50,MA200
2015-10-15,47.01,47.03,46.53,47.01,27189370,,,0.0,0.0,0.0,,,
2015-10-16,47.02,47.54,46.897,47.51,26450334,100.0,,0.03988603988603501,0.007977207977207001,0.031908831908828005,,,
2015-10-19,47.42,47.88,47.02,47.62,29387580,100.0,,0.07945617324533316,0.022273001030832237,0.05718317221450092,,,
2015-10-20,47.44,47.81,47.02,47.77,30802236,100.0,,0.12151874299128451,0.042122149422922694,0.07939659356836182,,,
2015-10-21,47.92,47.99,47.11,47.2,25264710,52.67591315082438,,0.10761883332796174,0.05522148620393051,0.05239734712403123,,,
2015-10-22,47.53,48.95,47.09,48.03,56637072,72.83524023791333,,0.16171299147404028,0.07651978725795247,0.08519320421608781,,,
2015-10-23,52.3,54.07,52.25,52.87,135227056,92.60850062951874,,0.5883484374121508,0.17888551728879215,0.40946292012335866,,,
2015-10-26,52.53,54.32,52.5,54.25,64633324,93.95875927449197,,1.0259876222649353,0.3483059382840208,0.6776816839809146,,,
2015-10-27,53.99,54.37,53.58,53.69,50999908,87.01237108560699,,1.3125027941893137,0.5411453094650794,0.7713574847242343,,,
2015-10-28,53.54,53.98,52.86,53.98,47000752,87.52665093351159,,1.5451570993244985,0.7419476674369634,0.8032094318875351,,,
2015-10-29,53.54,53.83,53.22,53.36,30202078,80.21363981135516,,1.6603687959480737,0.9256318931391855,0.7347369028088883,,,
2015-10-30,53.32,53.99,52.62,52.64,46619760,72.62494275290761,,1.6742768910697023,1.075360892725289,0.5989159983444134,,,
2015-11-02,52.85,53.36,52.62,53.24,30284982,74.76727390619274,,1.713956716124315,1.2030800574050942,0.5108766587192208,,,
2015-11-03,52.93,54.39,52.9,54.15,36596932,77.62703606448389,70.2150441794656,1.798105220470525,1.3220850900181804,0.4760201304523446,,,
2015-11-04,54.18,54.88,54.06,54.4,37087848,78.35288956268853,72.00353660477546,1.8634853282007953,1.4303651376547035,0.43312019054609174,,,
2015-11-05,54.49,54.7,54.0,54.38,31468484,78.13449444340381,67.36234089595685,1.89187731769659,1.5226675736630808,0.36920974403350915,,,
2015-11-06,54.085,54.98,53.964,54.92,32851204,79.77376768501965,67.73926225474307,1.9356388215158375,1.6052618232336324,0.3303769982822051,,,
2015-11-09,54.55,54.87,53.56,54.16,32513068,71.6339405047959,62.94981545171568,1.8872395573113678,1.6616573700491795,0.22558218726218837,,,
2015-11-10,54.07,54.13,53.27,53.51,55283696,65.48006598778159,59.90688429207019,1.77596105051515,1.6845181061423737,0.09144294437277622,,,
