Date,Open,High,Low,Close,Volume
2015-10-15,47.01,47.03,46.53,47.01,27189370
2015-10-16,47.02,47.54,46.897,47.51,26450334
2015-10-19,47.42,47.88,47.02,47.62,29387580
2015-10-20,47.44,47.81,47.02,47.77,30802236
2015-10-21,47.92,47.99,47.11,47.2,25264710
2015-10-22,47.53,48.95,47.09,48.03,56637072
2015-10-23,52.3,54.07,52.25,52.87,135227056
2015-10-26,52.53,54.32,52.5,54.25,64633324
2015-10-27,53.99,54.37,53.58,53.69,50999908
2015-10-28,53.54,53.98,52.86,53.98,47000752
2015-10-29,53.54,53.83,53.22,53.36,30202078
2015-10-30,53.32,53.99,52.62,52.64,46619760
2015-11-02,52.85,53.36,52.62,53.24,30284982
2015-11-03,52.93,54.39,52.9,54.15,36596932
2015-11-04,54.18,54.88,54.06,54.4,37087848
2015-11-05,54.49,54.7,54.0,54.38,31468484
2015-11-06,54.085,54.98,53.964,54.92,32851204
2015-11-09,54.55,54.87,53.56,54.16,32513068
2015-11-10,54.07,54.13,53.27,53.51,55283696
2015-11-11,53.7,54.2,53.46,53.65,36516260
2015-11-12,53.48,53.979,53.19,53.32,35361096
2015-11-13,53.07,53.29,52.53,52.84,36848176
2015-11-16,53.08,53.89,52.85,53.765,32165198
2015-11-17,53.17,53.53,52.85,52.97,31551256
2015-11-18,53.0,53.98,52.98,53.85,29710030
2015-11-19,53.99,54.66,53.781,53.94,28149228
2015-11-20,54.25,54.3,53.265,54.19,37147608
2015-11-23,54.25,54.46,53.75,54.19,28235918
2015-11-24,53.92,54.44,53.58,54.25,24600044
2015-11-25,54.09,54.23,53.69,53.69,21005148
2015-11-27,53.8,54.08,53.79,53.93,9009132
2015-11-30,54.54,54.96,54.0,54.35,56241416
2015-12-01,54.41,55.23,54.3,55.22,39952780
2015-12-02,55.32,55.96,55.06,55.21,47274880
2015-12-03,55.49,55.77,53.93,54.2,38627836
2015-12-04,54.12,56.23,54.1,55.91,43963664
2015-12-07,55.79,55.97,55.29,55.81,30709764
2015-12-08,55.47,56.1,54.99,55.79,32878026
2015-12-09,55.37,55.87,54.51,54.98,36373208
2015-12-10,55.39,55.655,55.01,55.27,31775826
2015-12-11,54.71,55.1,54.01,54.06,39549496
2015-12-14,54.33,55.21,53.68,55.14,47006492
2015-12-15,55.66,55.9,55.09,55.2,39843000
2015-12-16,55.54,56.245,54.76,56.13,37503300
2015-12-17,56.36,56.79,55.535,55.7,41280908
2015-12-18,55.77,56.0,54.03,54.13,84684160
2015-12-21,54.88,55.35,54.226,54.83,37246324
2015-12-22,54.99,55.48,54.5,55.35,28322240
2015-12-23,55.7,55.88,55.44,55.82,27279832
2015-12-24,55.86,55.96,55.43,55.67,9570002
2015-12-28,55.35,55.95,54.98,55.95,22458292
2015-12-29,56.29,56.85,56.06,56.55,27731404
2015-12-30,56.47,56.78,56.287,56.31,21704504
2015-12-31,56.04,56.19,55.42,55.48,27334060
2016-01-04,54.32,54.8,53.39,54.8,53777964
2016-01-05,54.93,55.39,54.54,55.05,34079672
2016-01-06,54.32,54.4,53.64,54.05,39518864
2016-01-07,52.7,53.485,52.07,52.17,56564852
2016-01-08,52.37,53.28,52.15,52.33,48753968
2016-01-11,52.51,52.85,51.46,52.3,36943756
2016-01-12,52.76,53.1,52.06,52.78,36095540
2016-01-13,53.8,54.07,51.304,51.64,66883572
2016-01-14,52.0,53.416,51.57,53.11,52381920
2016-01-15,51.31,51.97,50.34,50.99,71820696
2016-01-19,51.48,51.68,50.06,50.56,43564536
2016-01-20,49.98,51.38,49.1,50.79,63272992
2016-01-21,51.0,51.58,50.3,50.48,40191156
2016-01-22,51.41,52.33,51.26,52.29,37555788
2016-01-25,51.94,52.65,51.65,51.79,34707716
2016-01-26,51.79,52.44,51.55,52.17,28900820
2016-01-27,52.01,52.2,51.02,51.22,36775192
2016-01-28,51.86,52.21,51.25,52.055,62513788
2016-01-29,54.73,55.09,54.0,55.09,83611688
2016-02-01,54.88,55.09,54.495,54.71,44208544
2016-02-02,54.17,54.26,52.65,53.0,56313752
2016-02-03,53.25,53.39,51.26,52.16,57559816
2016-02-04,52.1,52.81,51.37,52.0,46987124
2016-02-05,51.94,52.0,49.56,50.16,62008992
2016-02-08,49.55,49.57,48.19,49.41,59290496
2016-02-09,49.02,50.24,48.67,49.28,46740472
2016-02-10,49.89,50.39,49.52,49.71,38236952
2016-02-11,48.68,50.11,48.51,49.69,48878572
2016-02-12,50.25,50.68,49.75,50.5,34243324
2016-02-16,50.9,51.09,50.13,51.09,37291208
2016-02-17,51.49,52.77,51.45,52.42,40788968
2016-02-18,52.33,52.95,52.1,52.19,27176036
2016-02-19,51.97,52.28,51.53,51.82,33559072
2016-02-22,52.28,53.0,52.28,52.65,25008292
2016-02-23,52.34,52.37,50.98,51.18,28895274
2016-02-24,50.69,51.5,50.2,51.36,33014456
2016-02-25,51.73,52.1,50.61,52.1,26939468
2016-02-26,52.6,52.68,51.1,51.3,35975924
2016-02-29,51.35,51.65,50.66,50.88,31654036
2016-03-01,50.97,52.59,50.92,52.58,33024536
2016-03-02,52.41,52.96,52.155,52.95,29289884
2016-03-03,52.97,52.97,51.78,52.35,24427812
2016-03-04,52.4,52.45,51.71,52.03,33034150
2016-03-07,51.56,51.8,50.58,51.03,38428816
2016-03-08,50.8,52.13,50.595,51.65,33835120
2016-03-09,51.89,52.85,51.855,52.84,28251588
2016-03-10,52.93,52.94,51.16,52.05,38387804
2016-03-11,53.0,53.07,52.38,53.07,32275676
2016-03-14,52.71,53.59,52.63,53.17,24083616
2016-03-15,52.75,53.59,52.74,53.59,21104764
2016-03-16,53.45,54.6,53.4,54.35,31691742
2016-03-17,54.21,55.0,54.0,54.66,28223948
2016-03-18,54.92,54.97,53.445,53.49,67625520
2016-03-21,53.25,53.93,52.93,53.86,23925716
2016-03-22,53.61,54.25,53.46,54.07,23124144
2016-03-23,54.11,54.24,53.74,53.97,20129016
2016-03-24,53.84,54.33,53.73,54.21,19949972
2016-03-28,54.21,54.29,53.33,53.54,17025050
2016-03-29,53.66,54.86,53.45,54.71,23924328
2016-03-30,54.93,55.64,54.9,55.05,23008260
2016-03-31,54.95,55.59,54.86,55.23,26360496
2016-04-01,55.05,55.61,54.57,55.57,24399192
2016-04-04,55.43,55.66,55.0,55.43,18928810
2016-04-05,55.19,55.3,54.46,54.56,19272256
2016-04-06,54.36,55.2,54.21,55.12,21188682
2016-04-07,54.87,54.91,54.23,54.46,19225092
2016-04-08,54.67,55.28,54.32,54.42,22167224
2016-04-11,54.49,55.15,54.3,54.31,21414228
2016-04-12,54.37,54.78,53.76,54.65,24944288
2016-04-13,55.12,55.438,54.89,55.35,20817960
2016-04-14,55.22,55.575,55.07,55.36,20877108
2016-04-15,55.3,55.92,55.11,55.65,28793752
2016-04-18,55.49,56.59,55.21,56.46,23785950
2016-04-19,56.63,56.77,55.68,56.39,29596828
2016-04-20,56.29,56.5,55.485,55.59,36195712
2016-04-21,55.8,56.23,55.415,55.78,38909096
2016-04-22,51.91,52.43,50.77,51.78,126834088
2016-04-25,51.78,52.13,51.63,52.11,33226948
2016-04-26,52.26,52.35,51.09,51.44,33532636
2016-04-27,51.48,51.5,50.55,50.94,43369256
2016-04-28,50.62,50.77,49.56,49.9,43134848
2016-04-29,49.35,50.25,49.35,49.87,48411684
2016-05-02,50.0,50.75,49.78,50.61,33114540
2016-05-03,50.34,50.41,49.6,49.78,26460244
2016-05-04,49.84,50.06,49.46,49.87,24257556
2016-05-05,49.87,50.3,49.73,49.94,25390718
2016-05-06,49.92,50.39,49.66,50.39,24787300
2016-05-09,50.49,50.585,50.0,50.07,17951598
2016-05-10,50.33,51.1,50.19,51.02,22890966
2016-05-11,51.13,51.78,51.0,51.05,24039140
2016-05-12,51.2,51.81,50.92,51.51,24102780
2016-05-13,51.44,51.895,51.04,51.08,22592342
2016-05-16,50.8,51.96,50.75,51.83,20032016
2016-05-17,51.72,51.73,50.36,50.51,27803514
2016-05-18,50.48,51.14,50.3,50.81,24907532
2016-05-19,50.47,50.62,49.82,50.32,23842358
2016-05-20,50.48,51.22,50.4,50.62,23905768
2016-05-23,50.6,50.68,49.98,50.03,26118720
2016-05-24,50.7,51.71,50.4,51.59,34757944
2016-05-25,51.92,52.49,51.79,52.12,24204566
2016-05-26,51.93,51.979,51.36,51.89,24335224
2016-05-27,51.92,52.32,51.77,52.32,17721438
2016-05-31,52.26,53.0,52.08,53.0,37653080
